EAN;Categoria;Marca;Modelo;Preço (€);"Diagonal do Ecrã ("")";Resolução;Frequência de Resposta (Hz);3D;Tempo de Resposta (ms);Contrast;Internet na TV;Conetividade Multidispositivos;Outros;Processador;Ligação Rede Wireless;Ligação Rede Ethernet;Nº de Entradas HDMI;Nº de Entradas USB;TDT;Entrada de PC;DLNA;Saída de Auscultadores;Entrada áudio;Altifalantes Integrados;Potência (W);Consumo em standby (W);Consumo de Energia (W);Consumo de Energia Anual (kWh);Eficiência Energética;Bloqueio para crianças;Temporizador On/Off;Picture-in-Picture;Cor;Ângulo de Visão ( ° );Tipo;Altura (cm);Largura (cm);Profundidade (cm)
4548736023598;Smart TV 3D;Sony;LED FHD Smart TV 48'' SONY KDL-48WD650;699,99;121;Full HD;200;Não;NA;NA;Sim;Não;NA;NA;Integrada;Sim;2;2;Sim;Sim;Não;Sim;Sim;Sim;NA;0.5;50;85;A+;Não;Sim;Não;Preto;178;LED;64.3;109.2;6.6
4548736002845;Smart TV 3D;Sony;TV LED Smart TV 3D 50'' SONY KDL50W808C;764,99;50;Full HD;1000;Sim;NA;Advanced Contrast Enhancer;Sim;Não;Android 5.0;X-Reality Pro 4;Integrada;Sim;4;3;Sim;Sim;Não;Sim;Sim;Sim;20;0.5;98;76;A+;Não;Sim;Não;Preto;178;LED;71.5;123;6.1
4548736003194;Smart TV 3D;Sony;TV LED Smart TV 3D 43'' SONY KDL-43W808C;849,99;43;Full HD;1000;Sim;NA;Advanced Contrast Enhancer;Sim;Não;Android 5.0;X-Reality Pro 4;Integrada;Sim;4;3;Sim;Sim;Não;Sim;Sim;Sim;20;0.5;98;76;A+;Não;Sim;Não;Preto;178;LED;56.5;96.2;5.9
8806087378443;Smart TV 3D;LG;TV LED Smart TV 3D 42'' LG 42LF652V;479,99;42;Full HD;500;Sim;NA;Tru-Black Control;Sim;Miracast / WiDi / DLNA;NA;NA;Integrada;Sim;3;3;Sim;Não;Sim;Sim;Sim;Sim;20;0.3;46;67;A+;Sim;Sim;Não;Cinza Escuro / Dual Metal;178;LED;60.6;96;23.8
8806087359749;Smart TV 3D;LG;TV LED Smart TV 3D 50'' LG 50LF652V;649,99;50;Full HD;500;Sim;NA;Tru-Black Control;Sim;Miracast / WiDi / DLNA;NA;NA;Integrada;Sim;3;3;Sim;Não;Sim;Sim;Sim;Sim;20;0.3;69;101;A+;Sim;Sim;Não;Cinza Escuro / Dual Metal;178;LED;71;112.7;26.7
8806086702225;Smart TV 3D;Samsung;TV LED Smart TV 43'' SAMSUNG UE43J5500A;449,99;43;Full HD;400;Não;5;Mega Contrast;Sim;Não;NA;Quad Core;Integrada;Não;3;2;Sim;Sim;Não;Sim;Sim;Sim;20;0.2;65;90;A+;Sim;Sim;Sim;Preto;178;LED;61.6;96.3;6.9
8806085444843;Smart TV 3D;Samsung;TV LED 3D 46'' SAMSUNG UE46F7000;1597,00;46;Full HD;800;Sim;NA;Mega Contrast;Sim;Sim;TV Interativa;Quad Core;Integrada;Sim;4;3;Sim;Sim;Sim;Sim;Não;Sim;20;0.1;71;NA;A;Não;Sim;Sim;Prateado;178;LED;64.8;103.6;23.7
5025232708901;Smart TV 3D;Panasonic;TV LED Smart TV 3D 47'' PANASONIC TX-L47DT60E;1599,00;47;Full HD;1600;Sim;NA;Brilliant Contrast;Sim;Sim;SmarTViera / Wifi / My home Screen / Swipe & Share 2.0 / Social TV / Interação p/ Voz / Gravação USB e HDD / Controle Touch Pad / Twin Tuner;Hexa-Processing Engine;Integrada;Sim;3;1;Sim;Sim;Sim;Sim;Sim;Sim;18;0.2;76;105;A+;Não;Sim;Sim;Cinza Escuro;178;LED;62.7;106.7;3.5
8806086633925;Smart TV;Samsung;TV LED Smart TV 32'' SAMSUNG UE32J5500A;329,99;32;Full HD;100;Não;2;Mega Contrast;Sim;Sim;NA;Quad Core;Integrada;Não;3;2;Sim;Sim;Não;Sim;Sim;Sim;20;NA;42;58;A;Sim;Sim;Sim;Preto;178;LED;47.2;72.1;20.8
8806086702225;Smart TV;Samsung;TV LED Smart TV 43'' SAMSUNG UE43J5500A;449,99;43;Full HD;400;Não;5;Mega Contrast;Sim;Não;NA;Quad Core;Integrada;Não;3;2;Sim;Sim;Não;Sim;Sim;Sim;20;0.2;65;90;A+;Sim;Sim;Sim;Preto;178;LED;61.6;96.3;6.9
8806086671019;Smart TV;Samsung;TV LED Smart TV 48'' SAMSUNG UE48J6200A;487,49;48;Full HD;500;Não;2;Contrast Enhancer;Sim;Não;NA;Quad Core;Integrada;Não;4;3;Sim;Sim;Sim;Sim;Sim;Sim;20;NA;65;90;A+;Sim;Sim;Sim;Preto;178;LED;63.1;107.6;31
8806086620598;Smart TV;Samsung;TV LED SMART TV 48'' SAMSUNG UE48J5500A;549,99;48;Full HD;400;Não;5;Mega Contrast;Sim;Sim;NA;Quad Core;Integrada;Não;3;2;Sim;Sim;Não;Sim;Sim;Sim;20;0.2;65;90;A+;Sim;Sim;Sim;Preto;178;LED;71.9;123.7;6.8
8806086825474;Smart TV;Samsung;TV LED Smart TV Curvo 55'' SAMSUNG UE55J6300A;949,00;55;Full HD;800;Não;5;Wide Color Enhancer Plus;Sim;Sim;NA;Quad Core;Integrada;Sim;4;3;Sim;Sim;Não;Sim;Sim;Sim;20;0.2;83;115;A+;Sim;Sim;Sim;Preto;178;LED;72;124;11
